Höhe,Breite,Fläche_m2,Baumwolle_preis,Leinen_preis,Support,
175,175,30625,419.1,,double_support_cross,
240,175,42000,572.4,,triple_support,
180,140,25200, ,476.9,double_support_cross,
180,180,32400,446.1,554,double_support_cross,
200,180,36000,498.6,609.3,double_support_cross,
220,180,39600,508.2,,triple_support,
360,180,64800,719.6,856.2,triple_support,
200,200,40000,566.0,,double_support_cross,
300,200,60000,673.9,,triple_support,
350,250,87500,805.0,,quad_support,
320,300,96000,817.7,,quad_support,
300,300,90000,1052.5,,quad_support,
